Edition,NOC,Vitorias por ano
1896,AUS,2
1896,AUT,5
1896,DEN,6
1896,FRA,11
1896,GBR,7
1896,GER,33
1896,GRE,52
1896,HUN,6
1896,SUI,3
1896,USA,20
1896,ZZX,6
1900,AUS,5
1900,AUT,6
1900,BEL,39
1900,BOH,2
1900,CAN,2
1900,CUB,2
1900,DEN,6
1900,ESP,2
1900,FRA,185
1900,GBR,78
1900,GER,40
1900,HUN,5
1900,IND,2
1900,ITA,4
1900,NED,20
1900,NOR,9
1900,SUI,15
1900,SWE,1
1900,USA,55
1900,ZZX,34
1904,AUT,1
1904,CAN,35
1904,CUB,9
1904,GBR,2
1904,GER,13
1904,GRE,2
1904,HUN,4
1904,SUI,2
1904,USA,394
1904,ZZX,8
1908,ANZ,19
1908,AUT,1
1908,BEL,31
1908,BOH,5
1908,CAN,51
1908,DEN,15
1908,FIN,29
1908,FRA,35
1908,GBR,347
1908,GER,22
1908,GRE,3
1908,HUN,18
1908,ITA,7
1908,NED,11
1908,NOR,44
1908,RSA,2
1908,RU1,3
1908,SWE,98
1908,USA,63
1912,ANZ,10
1912,AUT,14
1912,BEL,19
1912,CAN,8
1912,DEN,84
1912,FIN,67
1912,FRA,25
1912,GBR,160
1912,GER,52
1912,GRE,2
1912,HUN,30
1912,ITA,21
1912,NED,22
1912,NOR,76
1912,RSA,7
1912,RU1,14
1912,SWE,173
1912,USA,101
1920,AUS,6
1920,BEL,188
1920,BRA,7
1920,CAN,16
1920,DEN,75
1920,ESP,24
1920,EST,3
1920,FIN,49
1920,FRA,141
1920,GBR,107
1920,GRE,5
1920,ITA,84
1920,JPN,3
1920,LUX,1
1920,NED,48
1920,NOR,141
1920,NZL,1
1920,RSA,21
1920,SUI,29
1920,SWE,146
1920,TCH,10
1920,USA,193
1924,ARG,11
1924,AUS,10
1924,AUT,4
1924,BEL,38
1924,CAN,20
1924,DEN,12
1924,EST,6
1924,FIN,52
1924,FRA,122
1924,GBR,66
1924,HAI,7
1924,HUN,20
1924,ITA,51
1924,JPN,1
1924,NED,26
1924,NOR,26
1924,NZL,1
1924,POL,5
1924,POR,3
1924,ROU,23
1924,RSA,3
1924,SUI,65
1924,SWE,80
1924,TCH,10
1924,URU,22
1924,USA,198
1924,YUG,2
1928,ARG,32
1928,AUS,4
1928,AUT,4
1928,BEL,5
1928,CAN,33
1928,CHI,1
1928,DEN,13
1928,EGY,4
1928,ESP,3
1928,EST,9
1928,FIN,25
1928,FRA,36
1928,GBR,55
1928,GER,72
1928,HAI,1
1928,HUN,20
1928,IND,15
1928,IRL,1
1928,ITA,70
1928,JPN,8
1928,NED,65
1928,NOR,9
1928,NZL,1
1928,PHI,1
1928,POL,18
1928,RSA,6
1928,SUI,29
1928,SWE,36
1928,TCH,16
1928,URU,22
1928,USA,84
1928,YUG,12
1932,ARG,4
1932,AUS,5
1932,AUT,5
1932,CAN,38
1932,DEN,9
1932,ESP,1
1932,FIN,29
1932,FRA,37
1932,GBR,34
1932,GER,38
1932,HUN,32
1932,IND,11
1932,IRL,2
1932,ITA,77
1932,JPN,31
1932,LAT,1
1932,MEX,2
1932,NED,12
1932,NZL,2
1932,PHI,3
1932,POL,19
1932,RSA,5
1932,SUI,1
1932,SWE,31
1932,TCH,4
1932,URU,1
1932,USA,181
1936,ARG,11
1936,AUS,1
1936,AUT,50
1936,BEL,12
1936,CAN,22
1936,DEN,6
1936,EGY,5
1936,EST,7
1936,FIN,26
1936,FRA,43
1936,GBR,36
1936,GER,210
1936,HUN,42
1936,IND,19
1936,ITA,71
1936,JPN,21
1936,LAT,2
1936,MEX,16
1936,NED,37
1936,NOR,28
1936,NZL,1
1936,PHI,1
1936,POL,9
1936,POR,3
1936,ROU,2
1936,RSA,1
1936,SUI,47
1936,SWE,34
1936,TCH,17
1936,TUR,2
1936,USA,92
1936,YUG,1
1948,ARG,12
1948,AUS,16
1948,AUT,4
1948,BEL,14
1948,BRA,12
1948,CAN,6
1948,CUB,2
1948,DEN,49
1948,EGY,5
1948,ESP,3
1948,FIN,29
1948,FRA,68
1948,GBR,56
1948,HUN,60
1948,IND,20
1948,IRI,1
1948,ITA,63
1948,JAM,3
1948,KOR,2
1948,MEX,9
1948,NED,42
1948,NOR,18
1948,PAN,2
1948,PER,1
1948,POL,1
1948,POR,5
1948,PUR,1
1948,RSA,4
1948,SRI,1
1948,SUI,32
1948,SWE,73
1948,TCH,20
1948,TRI,1
1948,TUR,12
1948,URU,3
1948,USA,148
1948,YUG,16
1952,ARG,6
1952,AUS,20
1952,AUT,3
1952,BEL,7
1952,BRA,3
1952,BUL,1
1952,CAN,4
1952,CHI,4
1952,DEN,9
1952,EGY,1
1952,ESP,1
1952,FIN,40
1952,FRA,39
1952,GBR,31
1952,GER,40
1952,HUN,101
1952,IND,15
1952,IRI,7
1952,IRL,1
1952,ITA,53
1952,JAM,8
1952,JPN,12
1952,KOR,2
1952,LIB,2
1952,LUX,1
1952,MEX,1
1952,NED,18
1952,NOR,13
1952,NZL,3
1952,POL,4
1952,POR,2
1952,ROU,4
1952,RSA,14
1952,SUI,33
1952,SWE,70
1952,TCH,25
1952,TRI,2
1952,TUR,3
1952,URS,117
1952,URU,14
1952,USA,130
1952,VEN,1
1952,YUG,24
1956,ARG,2
1956,AUS,61
1956,AUT,4
1956,BAH,2
1956,BEL,2
1956,BRA,1
1956,BUL,18
1956,CAN,19
1956,CHI,4
1956,DEN,7
1956,EUA,57
1956,FIN,26
1956,FRA,32
1956,GBR,45
1956,GRE,1
1956,HUN,64
1956,IND,17
1956,IRI,5
1956,IRL,5
1956,ISL,1
1956,ITA,46
1956,JPN,24
1956,KOR,2
1956,MEX,2
1956,NOR,3
1956,NZL,3
1956,PAK,14
1956,POL,19
1956,ROU,19
1956,RSA,7
1956,SUI,3
1956,SWE,34
1956,TCH,7
1956,TUR,7
1956,URS,169
1956,URU,12
1956,USA,118
1956,YUG,23
1960,ARG,4
1960,AUS,36
1960,AUT,3
1960,BEL,4
1960,BRA,13
1960,BUL,7
1960,BWI,5
1960,CAN,9
1960,DEN,23
1960,EGY,2
1960,ESP,14
1960,ETH,1
1960,EUA,88
1960,FIN,6
1960,FRA,11
1960,GBR,28
1960,GHA,1
1960,GRE,3
1960,HUN,65
1960,IND,13
1960,IRI,4
1960,IRQ,1
1960,ITA,88
1960,JPN,29
1960,MAR,1
1960,MEX,1
1960,NED,3
1960,NOR,2
1960,NZL,3
1960,PAK,14
1960,POL,30
1960,POR,2
1960,ROU,15
1960,RSA,3
1960,SIN,1
1960,SUI,11
1960,SWE,7
1960,TCH,22
1960,TPE,1
1960,TUR,9
1960,URS,169
1960,USA,112
1960,VEN,1
1960,YUG,17
1964,ARG,1
1964,AUS,42
1964,BAH,2
1964,BEL,3
1964,BRA,12
1964,BUL,10
1964,CAN,5
1964,CUB,1
1964,DEN,12
1964,ETH,1
1964,EUA,115
1964,FIN,5
1964,FRA,31
1964,GBR,28
1964,GHA,1
1964,HUN,56
1964,IND,15
1964,IRI,2
1964,IRL,1
1964,ITA,50
1964,JPN,64
1964,KEN,1
1964,KOR,3
1964,MEX,1
1964,NED,30
1964,NGR,1
1964,NZL,6
1964,PAK,16
1964,PHI,1
1964,POL,48
1964,ROU,16
1964,SUI,6
1964,SWE,15
1964,TCH,55
1964,TRI,6
1964,TUN,2
1964,TUR,6
1964,URS,174
1964,URU,1
1964,USA,150
1964,YUG,15
1968,ARG,2
1968,AUS,49
1968,AUT,5
1968,BEL,3
1968,BRA,4
1968,BUL,26
1968,CAN,10
1968,CMR,1
1968,CUB,10
1968,DEN,16
1968,ETH,2
1968,FIN,4
1968,FRA,27
1968,FRG,49
1968,GBR,18
1968,GDR,51
1968,GRE,1
1968,HUN,81
1968,IND,15
1968,IRI,5
1968,ITA,32
1968,JAM,1
1968,JPN,67
1968,KEN,12
1968,KOR,2
1968,MEX,9
1968,MGL,4
1968,NED,14
1968,NOR,6
1968,NZL,7
1968,PAK,13
1968,POL,37
1968,ROU,23
1968,SUI,13
1968,SWE,9
1968,TCH,29
1968,TPE,1
1968,TUN,2
1968,TUR,2
1968,UGA,2
1968,URS,188
1968,USA,149
1968,VEN,1
1968,YUG,29
1972,ARG,1
1972,AUS,20
1972,AUT,3
1972,BEL,2
1972,BRA,2
1972,BUL,22
1972,CAN,10
1972,COL,3
1972,CUB,22
1972,DEN,1
1972,ESP,1
1972,ETH,2
1972,FIN,10
1972,FRA,22
1972,FRG,96
1972,GBR,29
1972,GDR,148
1972,GHA,1
1972,GRE,2
1972,HUN,81
1972,IND,14
1972,IRI,3
1972,ITA,25
1972,JAM,1
1972,JPN,56
1972,KEN,12
1972,KOR,1
1972,LIB,1
1972,MEX,1
1972,MGL,1
1972,NED,6
1972,NGR,1
1972,NIG,1
1972,NOR,8
1972,NZL,14
1972,PAK,15
1972,POL,46
1972,PRK,15
1972,ROU,40
1972,SUI,8
1972,SWE,21
1972,TCH,29
1972,TUN,1
1972,TUR,1
1972,UGA,2
1972,URS,211
1972,USA,155
1972,YUG,18
1976,AUS,24
1976,AUT,1
1976,BEL,9
1976,BER,1
1976,BRA,3
1976,BUL,39
1976,CAN,20
1976,CUB,24
1976,DEN,8
1976,ESP,6
1976,FIN,6
1976,FRA,20
1976,FRG,75
1976,GBR,32
1976,GDR,192
1976,HUN,55
1976,IRI,2
1976,ITA,31
1976,JAM,2
1976,JPN,41
1976,KOR,17
1976,MEX,2
1976,MGL,1
1976,NED,15
1976,NOR,6
1976,NZL,27
1976,PAK,16
1976,POL,73
1976,POR,2
1976,PRK,2
1976,PUR,1
1976,ROU,55
1976,SUI,10
1976,SWE,10
1976,TCH,15
1976,THA,1
1976,TRI,1
1976,URS,285
1976,USA,155
1976,VEN,1
1976,YUG,19
1980,AUS,12
1980,AUT,5
1980,BEL,1
1980,BRA,9
1980,BUL,94
1980,CUB,20
1980,DEN,8
1980,ESP,24
1980,ETH,4
1980,FIN,9
1980,FRA,29
1980,GBR,45
1980,GDR,260
1980,GRE,5
1980,GUY,1
1980,HUN,61
1980,IND,16
1980,IRL,3
1980,ITA,37
1980,JAM,3
1980,LIB,1
1980,MEX,12
1980,MGL,4
1980,NED,6
1980,POL,50
1980,PRK,5
1980,ROU,72
1980,SUI,2
1980,SWE,18
1980,TAN,2
1980,TCH,52
1980,UGA,1
1980,URS,442
1980,VEN,1
1980,YUG,57
1980,ZIM,16
1984,ALG,2
1984,AUS,50
1984,AUT,3
1984,BEL,5
1984,BRA,37
1984,CAN,86
1984,CHN,76
1984,CIV,1
1984,CMR,1
1984,COL,1
1984,DEN,15
1984,DOM,1
1984,EGY,1
1984,ESP,19
1984,FIN,12
1984,FRA,68
1984,FRG,157
1984,GBR,72
1984,GRE,2
1984,IRL,1
1984,ISL,1
1984,ITA,63
1984,JAM,6
1984,JPN,49
1984,KEN,3
1984,KOR,42
1984,MAR,2
1984,MEX,6
1984,NED,40
1984,NGR,5
1984,NOR,4
1984,NZL,23
1984,PAK,16
1984,PER,1
1984,POR,3
1984,PUR,2
1984,ROU,106
1984,SUI,15
1984,SWE,32
1984,SYR,1
1984,THA,1
1984,TPE,1
1984,TUR,3
1984,USA,333
1984,VEN,3
1984,YUG,87
1984,ZAM,1
1988,AHO,1
1988,ARG,13
1988,AUS,34
1988,AUT,1
1988,BEL,2
1988,BRA,28
1988,BUL,41
1988,CAN,21
1988,CHI,1
1988,CHN,53
1988,COL,1
1988,CRC,1
1988,DEN,7
1988,DJI,1
1988,ESP,5
1988,FIN,4
1988,FRA,29
1988,FRG,113
1988,GBR,53
1988,GDR,174
1988,GRE,1
1988,HUN,44
1988,INA,3
1988,IRI,1
1988,ISV,1
1988,ITA,29
1988,JAM,5
1988,JPN,20
1988,KEN,9
1988,KOR,77
1988,MAR,3
1988,MEX,2
1988,MGL,1
1988,NED,44
1988,NOR,23
1988,NZL,24
1988,PAK,1
1988,PER,12
1988,PHI,1
1988,POL,21
1988,POR,1
1988,ROU,51
1988,SEN,1
1988,SUI,8
1988,SUR,1
1988,SWE,16
1988,TCH,10
1988,THA,1
1988,TUR,2
1988,URS,294
1988,USA,193
1988,YUG,63
1992,ALG,2
1992,ARG,2
1992,AUS,57
1992,AUT,6
1992,BAH,1
1992,BEL,3
1992,BRA,14
1992,BUL,17
1992,CAN,44
1992,CHN,83
1992,COL,1
1992,CRO,15
1992,CUB,71
1992,DEN,14
1992,ESP,66
1992,EST,3
1992,ETH,3
1992,EUN,223
1992,FIN,7
1992,FRA,57
1992,GBR,50
1992,GER,198
1992,GHA,13
1992,GRE,2
1992,HUN,45
1992,INA,6
1992,IOP,3
1992,IRI,3
1992,IRL,2
1992,ISR,2
1992,ITA,46
1992,JAM,4
1992,JPN,47
1992,KEN,8
1992,KOR,49
1992,LAT,3
1992,LTU,13
1992,MAR,3
1992,MAS,2
1992,MEX,1
1992,MGL,2
1992,NAM,2
1992,NED,33
1992,NGR,11
1992,NOR,23
1992,NZL,15
1992,PAK,16
1992,PER,1
1992,PHI,1
1992,POL,42
1992,PRK,10
1992,PUR,1
1992,QAT,1
1992,ROU,53
1992,RSA,3
1992,SLO,6
1992,SUI,1
1992,SUR,1
1992,SWE,35
1992,TCH,8
1992,THA,1
1992,TPE,20
1992,TUR,6
1992,USA,224
1996,ALG,3
1996,ARG,20
1996,ARM,2
1996,AUS,132
1996,AUT,3
1996,AZE,1
1996,BAH,5
1996,BDI,1
1996,BEL,6
1996,BLR,23
1996,BRA,64
1996,BUL,21
1996,CAN,51
1996,CHN,110
1996,CRC,1
1996,CRO,29
1996,CUB,57
1996,CZE,13
1996,DEN,24
1996,ECU,1
1996,ESP,67
1996,ETH,3
1996,FIN,4
1996,FRA,51
1996,GBR,26
1996,GEO,2
1996,GER,124
1996,GRE,8
1996,HKG,1
1996,HUN,43
1996,INA,6
1996,IND,1
1996,IRI,3
1996,IRL,4
1996,ISR,1
1996,ITA,71
1996,JAM,16
1996,JPN,43
1996,KAZ,11
1996,KEN,8
1996,KOR,66
1996,LAT,1
1996,LTU,12
1996,MAR,2
1996,MAS,3
1996,MDA,3
1996,MEX,1
1996,MGL,1
1996,MOZ,1
1996,NAM,2
1996,NED,73
1996,NGR,26
1996,NOR,25
1996,NZL,9
1996,PHI,1
1996,POL,21
1996,POR,3
1996,PRK,5
1996,PUR,1
1996,ROU,38
1996,RSA,5
1996,RUS,115
1996,SLO,2
1996,SUI,11
1996,SVK,3
1996,SWE,31
1996,SYR,1
1996,TGA,1
1996,THA,2
1996,TPE,1
1996,TRI,2
1996,TUN,1
1996,TUR,6
1996,UGA,1
1996,UKR,34
1996,USA,260
1996,UZB,2
1996,YUG,26
1996,ZAM,1
2000,ALG,5
2000,ARG,20
2000,ARM,1
2000,AUS,183
2000,AUT,4
2000,AZE,3
2000,BAH,6
2000,BAR,1
2000,BEL,7
2000,BLR,22
2000,BRA,48
2000,BUL,13
2000,CAN,31
2000,CHI,18
2000,CHN,79
2000,CMR,18
2000,COL,1
2000,CRC,2
2000,CRO,10
2000,CUB,69
2000,CZE,9
2000,DEN,25
2000,ESP,43
2000,EST,3
2000,ETH,8
2000,FIN,5
2000,FRA,66
2000,GBR,55
2000,GEO,6
2000,GER,119
2000,GRE,18
2000,HUN,53
2000,INA,8
2000,IND,1
2000,IRI,4
2000,IRL,1
2000,ISL,1
2000,ISR,1
2000,ITA,65
2000,JAM,23
2000,JPN,43
2000,KAZ,7
2000,KEN,7
2000,KGZ,1
2000,KOR,73
2000,KSA,2
2000,KUW,1
2000,LAT,3
2000,LTU,17
2000,MAR,5
2000,MDA,2
2000,MEX,6
2000,MKD,1
2000,MOZ,1
2000,NED,79
2000,NGR,8
2000,NOR,44
2000,NZL,4
2000,POL,24
2000,POR,2
2000,PRK,4
2000,QAT,1
2000,ROU,46
2000,RSA,5
2000,RUS,188
2000,SLO,3
2000,SRI,1
2000,SUI,14
2000,SVK,6
2000,SWE,32
2000,THA,3
2000,TPE,5
2000,TRI,2
2000,TUR,5
2000,UKR,35
2000,URU,1
2000,USA,248
2000,UZB,4
2000,VIE,1
2000,YUG,26
2004,ARG,47
2004,AUS,157
2004,AUT,8
2004,AZE,5
2004,BAH,2
2004,BEL,3
2004,BLR,17
2004,BRA,40
2004,BUL,17
2004,CAN,17
2004,CHI,4
2004,CHN,94
2004,CMR,1
2004,COL,2
2004,CRO,20
2004,CUB,61
2004,CZE,12
2004,DEN,29
2004,DOM,1
2004,EGY,5
2004,ERI,1
2004,ESP,27
2004,EST,3
2004,ETH,7
2004,FIN,2
2004,FRA,53
2004,GBR,57
2004,GEO,4
2004,GER,149
2004,GRE,31
2004,HKG,2
2004,HUN,40
2004,INA,5
2004,IND,1
2004,IRI,6
2004,ISR,2
2004,ITA,102
2004,JAM,13
2004,JPN,94
2004,KAZ,8
2004,KEN,7
2004,KOR,52
2004,LAT,4
2004,LTU,3
2004,MAR,3
2004,MEX,4
2004,MGL,1
2004,NED,76
2004,NGR,8
2004,NOR,7
2004,NZL,6
2004,PAR,17
2004,POL,12
2004,POR,3
2004,PRK,5
2004,ROU,39
2004,RSA,10
2004,RUS,192
2004,SCG,14
2004,SLO,5
2004,SUI,7
2004,SVK,10
2004,SWE,12
2004,SYR,1
2004,THA,8
2004,TPE,9
2004,TRI,1
2004,TUR,10
2004,UAE,1
2004,UKR,48
2004,USA,264
2004,UZB,5
2004,VEN,2
2004,ZIM,3
2008,AFG,1
2008,ALG,2
2008,ARG,51
2008,ARM,6
2008,AUS,149
2008,AUT,3
2008,AZE,7
2008,BAH,5
2008,BEL,5
2008,BLR,30
2008,BRA,75
2008,BUL,5
2008,CAN,34
2008,CHI,1
2008,CHN,184
2008,CMR,1
2008,COL,2
2008,CRO,5
2008,CUB,47
2008,CZE,7
2008,DEN,18
2008,DOM,2
2008,ECU,1
2008,EGY,1
2008,ESP,71
2008,EST,3
2008,ETH,7
2008,FIN,5
2008,FRA,76
2008,GBR,77
2008,GEO,6
2008,GER,101
2008,GRE,7
2008,HUN,27
2008,INA,7
2008,IND,3
2008,IRI,2
2008,IRL,3
2008,ISL,14
2008,ISR,1
2008,ITA,42
2008,JAM,17
2008,JPN,51
2008,KAZ,13
2008,KEN,14
2008,KGZ,2
2008,KOR,78
2008,LAT,3
2008,LTU,5
2008,MAR,2
2008,MAS,1
2008,MDA,1
2008,MEX,4
2008,MGL,4
2008,MRI,1
2008,NED,62
2008,NGR,24
2008,NOR,22
2008,NZL,14
2008,PAN,1
2008,POL,20
2008,POR,2
2008,PRK,6
2008,ROU,22
2008,RSA,1
2008,RUS,143
2008,SIN,3
2008,SLO,5
2008,SRB,15
2008,SUD,1
2008,SUI,11
2008,SVK,10
2008,SWE,7
2008,THA,4
2008,TJK,2
2008,TOG,1
2008,TPE,4
2008,TRI,5
2008,TUN,1
2008,TUR,8
2008,UKR,31
2008,USA,315
2008,UZB,6
2008,VEN,1
2008,VIE,1
2008,ZIM,4
